date,description,merchant,amount,category
2025-10-21,Cafe Coffee Day,Cafe Coffee Day,310.0,Food & Drink
2024-10-21,Zomato,Zomato,500.0,Food & Drink
2023-10-22,BigBazaar,BigBazaar,2400.0,Groceries
2023-10-22,amazon pay,Amazon,750.0,Shopping
2024-10-22,NETFLIX.COM,Netflix,199.0,Subscriptions
2023-10-23,UPI to Friend,Miscellaneous,1000.0,Miscellaneous
2024-10-23,uber trip,Uber,190.0,Transport
2023-10-23,Swiggy,Swiggy,390.0,Food & Drink
2023-10-24,MedPlus,MedPlus,150.0,Health
2023-10-24,More Supermarket,More Supermarket,2100.0,Groceries
2024-10-24,Myntra,Myntra,3200.0,Shopping
2024-10-25,TNEB Bill,TNEB,980.0,Utilities
2023-10-25,PVR Cinemas,PVR Cinemas,450.0,Entertainment
2023-10-25,Zomato order,Zomato,710.0,Food & Drink
2023-10-26,House Rent,House Rent,20000.0,Rent
2025-10-26,Uber,Uber,120.0,Transport
2024-10-26,Groceries from Dunzo,Dunzo,900.0,Groceries
2025-10-27,Spotify,Spotify,119.0,Subscriptions
2025-10-27,Dominos,Dominos,600.0,Food & Drink
2025-10-27,Ola Ride,Ola,240.0,Transport
2024-10-28,Swiggy Instamart,Swiggy,420.0,Groceries
2023-10-28,Amazon.in,Amazon,1500.0,Shopping
2024-10-28,Zomato,Zomato,290.0,Food & Drink
2025-10-29,BSNL Bill,BSNL,800.0,Utilities
2025-10-29,Apollo Pharmacy,Apollo Pharmacy,550.0,Health
2025-10-29,uber auto,Uber,90.0,Transport
2025-10-30,BigBazaar,BigBazaar,3300.0,Groceries
2025-10-30,flipkart,Flipkart,2200.0,Shopping
2024-10-30,swiggy,Swiggy,310.0,Food & Drink
2023-10-31,Local Tea Stall,Local Tea Shop,30.0,Food & Drink
2023-10-31,Rapido,Rapido,110.0,Transport
2023-10-31,Netflix,Netflix,199.0,Subscriptions
2023-11-01,Zomato Order #2346,Zomato,410.0,Food & Drink
2025-11-01,Uber Trip 20251101,Uber,175.0,Transport
2024-11-01,Reliance Fresh,Reliance Fresh,1400.0,Groceries
2023-11-02,Swiggy Foods,Swiggy,530.0,Food & Drink
2025-11-02,Apollo Pharmacy,Apollo Pharmacy,300.0,Health
2023-11-02,Ola Cabs,Ola,250.0,Transport
2023-11-03,Cafe Coffee Day,Cafe Coffee Day,300.0,Food & Drink
2024-11-03,Amazon.in Order AMZ924,Amazon,1999.0,Shopping
2025-11-03,TNEB Bill Pay,TNEB,1400.0,Utilities
2023-11-04,BSNL FTTH,BSNL,799.0,Utilities
2023-11-04,IMPS - Rent Nov,House Rent,20000.0,Rent
2025-11-04,PVR Cinemas,PVR Cinemas,620.0,Entertainment
2023-11-05,BookMyShow,BookMyShow,800.0,Entertainment
2023-11-05,Fuel IOCL,Indian Oil,2500.0,Transport
2025-11-06,Zomato order 5822,Zomato,450.0,Food & Drink
2023-11-06,Spotify AB 92385,Spotify,119.0,Subscriptions
2025-11-06,Dunzo,Dunzo,820.0,Groceries
2024-11-07,RAPIDO RIDE 2310,Rapido,105.0,Transport
2023-11-07,zomato,Zomato,230.0,Food & Drink
2024-11-07,ACT Fibernet,ACT Fibernet,1049.0,Utilities
2024-11-08,BigBazaar Purchase,BigBazaar,3250.0,Groceries
2024-11-08,MedPlus Bill,MedPlus,350.0,Health
2025-11-08,Starbucks,Starbucks,480.0,Food & Drink
2024-11-09,swiggy food,Swiggy,620.0,Food & Drink
2023-11-09,Amazon Prime,Amazon Prime,299.0,Subscriptions
2025-11-09,FLIPKART Order FK2395,Flipkart,490.0,Shopping
2023-11-10,Dominos Pizza,Dominos,780.0,Food & Drink
2025-11-10,Uber Ride 20251110,Uber,150.0,Transport
2024-11-10,Local Tea Shop,Local Tea Shop,50.0,Food & Drink
2023-11-11,CMRL Metro Card,Chennai Metro,300.0,Transport
2025-11-11,More Supermarket,More Supermarket,1900.0,Groceries
2024-11-11,ZARA,Zara,5100.0,Shopping
2024-11-12,swiggy instamart,Swiggy,380.0,Groceries
2024-11-12,Uber Auto,Uber,120.0,Transport
2023-11-13,Disney+ Hotstar,Hotstar,499.0,Subscriptions
2024-11-13,ATM WITHDRAWAL,ATM,3000.0,Miscellaneous
2024-11-13,Pizza Hut,Pizza Hut,920.0,Food & Drink
2023-11-14,Zomato order 9924,Zomato,290.0,Food & Drink
2024-11-14,H&M,H&M,2300.0,Shopping
2025-11-14,Water Tax,CMWSSB,150.0,Utilities
2024-11-15,Ola Cabs 2346,Ola,330.0,Transport
2024-11-15,The Hindu,The Hindu,999.0,Subscriptions
2024-11-16,Shell Fuel,Shell,1600.0,Transport
2023-11-16,swiggy order,Swiggy,500.0,Food & Drink
2025-11-16,amazon.in,Amazon,999.0,Shopping
2024-11-17,Apollo Pharmacy,Apollo Pharmacy,220.0,Health
2024-11-17,Reliance Fresh,Reliance Fresh,950.0,Groceries
2025-11-17,Steam Purchase,Steam Games,1499.0,Entertainment
2023-11-18,Uber Ride,Uber,230.0,Transport
2025-11-18,Zomato,Zomato,350.0,Food & Drink
2023-11-18,Milk delivery,Local Mart,1200.0,Groceries
2024-11-19,Mobile Recharge,Jio,299.0,Bills
2023-11-19,Google Cloud,Google,150.0,Subscriptions
2024-11-19,Gym Membership,Fitness First,2500.0,Health
2024-11-20,flipkart,Flipkart,1100.0,Shopping
2024-11-20,Rapido 2399,Rapido,90.0,Transport
2025-11-20,Cafe Coffee Day,Cafe Coffee Day,330.0,Food & Drink
2023-11-20,Zomato,Zomato,520.0,Food & Drink
2024-11-21,BigBazaar,BigBazaar,2600.0,Groceries
2024-11-21,amazon pay,Amazon,800.0,Shopping
2023-11-21,NETFLIX.COM,Netflix,199.0,Subscriptions
2025-11-22,UPI to Friend,Miscellaneous,500.0,Miscellaneous
2024-11-22,uber trip,Uber,200.0,Transport
2024-11-22,Swiggy,Swiggy,410.0,Food & Drink
2024-11-23,MedPlus,MedPlus,170.0,Health
2024-11-23,More Supermarket,More Supermarket,2200.0,Groceries
2023-11-23,Myntra,Myntra,3400.0,Shopping
2023-11-24,TNEB Bill,TNEB,1050.0,Utilities
2025-11-24,PVR Cinemas,PVR Cinemas,480.0,Entertainment
2024-11-24,Zomato order,Zomato,730.0,Food & Drink
2024-11-25,House Rent,House Rent,20000.0,Rent
2025-11-25,Uber,Uber,130.0,Transport
2025-11-25,Groceries from Dunzo,Dunzo,950.0,Groceries
2023-11-26,Spotify,Spotify,119.0,Subscriptions
2023-11-26,Dominos,Dominos,620.0,Food & Drink
2023-11-26,Ola Ride,Ola,260.0,Transport
2024-11-27,Swiggy Instamart,Swiggy,440.0,Groceries
2025-11-27,Zomato,Zomato,310.0,Food & Drink
2025-11-28,BSNL Bill,BSNL,800.0,Utilities
2024-11-28,Apollo Pharmacy,Apollo Pharmacy,570.0,Health
2023-11-28,uber auto,Uber,100.0,Transport
2024-11-29,BigBazaar,BigBazaar,3500.0,Groceries
2025-11-29,flipkart,Flipkart,2400.0,Shopping
2024-11-30,Local Tea Stall,Local Tea Shop,40.0,Food & Drink
2024-11-30,Rapido,Rapido,120.0,Transport
2023-11-30,Netflix,Netflix,199.0,Subscriptions
2024-12-01,Zomato Order #2347,Zomato,360.0,Food & Drink
2025-12-01,Uber Trip 20251201,Uber,190.0,Transport
2024-12-01,Reliance Fresh,Reliance Fresh,1300.0,Groceries
2024-12-02,Swiggy Foods,Swiggy,550.0,Food & Drink
2025-12-02,Apollo Pharmacy,Apollo Pharmacy,320.0,Health
2024-12-02,Ola Cabs,Ola,230.0,Transport
2024-12-03,Cafe Coffee Day,Cafe Coffee Day,310.0,Food & Drink
2024-12-03,Amazon.in Order AMZ925,Amazon,2199.0,Shopping
2024-12-03,TNEB Bill Pay,TNEB,1380.0,Utilities
2025-12-04,BSNL FTTH,BSNL,799.0,Utilities
2023-12-04,IMPS - Rent Dec,House Rent,20000.0,Rent
2023-12-04,PVR Cinemas,PVR Cinemas,640.0,Entertainment
2024-12-05,BookMyShow,BookMyShow,820.0,Entertainment
2025-12-05,Fuel IOCL,Indian Oil,2200.0,Transport
2025-12-05,Myntra Order MYN1004,Myntra,2399.0,Shopping
2025-12-06,Zomato order 5823,Zomato,470.0,Food & Drink
2025-12-06,Spotify AB 92386,Spotify,119.0,Subscriptions
2024-12-06,Dunzo,Dunzo,850.0,Groceries
2023-12-07,RAPIDO RIDE 2311,Rapido,115.0,Transport
2023-12-07,zomato,Zomato,250.0,Food & Drink
2024-12-07,ACT Fibernet,ACT Fibernet,1049.0,Utilities
2025-12-08,BigBazaar Purchase,BigBazaar,3400.0,Groceries
2025-12-08,MedPlus Bill,MedPlus,370.0,Health
2025-12-08,Starbucks,Starbucks,500.0,Food & Drink
2025-01-15,ZARA Retail,Zara,4890.0,Shopping
2023-04-20,Local Tea Shop,Local Tea Shop,30.0,Food & Drink
2025-08-11,IMPS - House Rent Aug,House Rent,22000.0,Rent
2023-07-22,Shell Fuel,Shell,2500.0,Transport
2025-03-12,Gym Membership,Fitness First,2000.0,Health
2024-05-18,Steam Purchase,Steam Games,1499.0,Entertainment
2025-10-02,More Supermarket,More Supermarket,2340.0,Groceries
2025-09-15,BookMyShow Movie,BookMyShow,680.0,Entertainment
2025-06-11,Uber Auto,Uber,95.0,Transport
2023-02-01,Netflix,Netflix,199.0,Subscriptions
2025-01-28,APOLLO PHARMACY TRN,Apollo Pharmacy,560.0,Health
2025-07-19,ACT Fibernet Bill,ACT Fibernet,1049.0,Utilities
2024-10-14,Zomato order 5921,Zomato,430.0,Food & Drink
2024-06-03,amazon.in purchase,Amazon,999.0,Shopping
2025-09-08,FLIPKART Order FK2401,Flipkart,3299.0,Shopping
2023-04-05,Mobile Recharge,Airtel,299.0,Bills
2024-03-22,Water Tax CMWSSB,CMSWW,150.0,Utilities
2025-08-27,RAPIDO RIDE 2315,Rapido,110.0,Transport
2025-11-03,Starbucks,Starbucks,510.0,Food & Drink
2025-02-17,BigBazaar Purchase,BigBazaar,3150.0,Groceries
2025-01-09,TNEB Bill Payment 100238,TNEB,1120.0,Utilities
2025-07-30,Ola Cabs Ride 9028,Ola,310.0,Transport
2023-05-25,swiggy food,Swiggy,580.0,Food & Drink
2025-10-21,MedPlus Bill,MedPlus,270.0,Health
2023-04-14,Spotify AB 92390,Spotify,119.0,Subscriptions
2024-08-05,Amazon.in Order AMZ930,Amazon,1750.0,Shopping
2024-06-28,Dunzo Groceries,Dunzo,890.0,Groceries
2024-03-07,Local Tea Stall,Local Tea Shop,20.0,Food & Drink
2023-09-23,zomato,Zomato,310.0,Food & Drink
2025-01-19,Fuel at IOCL,Indian Oil,2000.0,Transport
2023-07-02,Myntra Order MYN1008,Myntra,2499.0,Shopping
2025-04-28,PVR Cinemas Food,PVR Cinemas,550.0,Entertainment
2025-10-27,Doctor's Visit Fee,Local Clinic,700.0,Health
2023-02-11,Reliance Fresh Pvt Ltd,Reliance Fresh,1800.0,Groceries
2024-08-20,Google Cloud,Google,150.0,Subscriptions
2023-05-09,UPI to Zomato Order #2350,Zomato,290.0,Food & Drink
2024-01-31,ATM WITHDRAWAL,ATM,2000.0,Miscellaneous
2025-10-09,Swiggy Foods Bill,Swiggy,460.0,Food & Drink
2025-06-21,BSNL FTTH Bill,BSNL,799.0,Utilities
2025-03-29,Myntra,Myntra,4100.0,Shopping
2024-09-02,Uber Trip 20250902,Uber,160.0,Transport
2025-04-11,CMRL Metro Card Recharge,Chennai Metro,500.0,Transport
2023-01-24,Dominos Pizza,Dominos,820.0,Food & Drink
2023-08-16,swiggy instamart,Swiggy,330.0,Groceries
2025-05-31,flipkart,Flipkart,1299.0,Shopping
2025-10-18,Cafe Coffee Day Bill,Cafe Coffee Day,340.0,Food & Drink
2025-02-23,Licious Order,Licious,720.0,Groceries
2023-07-11,Ola Cabs 2351,Ola,215.0,Transport
2024-09-28,Amazon Prime renewal,Amazon Prime,299.0,Subscriptions
2025-03-02,Pizza Hut Bill,Pizza Hut,910.0,Food & Drink
2024-06-16,More Supermarket,More Supermarket,2050.0,Groceries
2024-08-01,H&M Purchase,H&M,2799.0,Shopping
2023-01-12,The Hindu Subscription,The Hindu,999.0,Subscriptions
2024-05-14,Jio Postpaid Bill,Jio,499.0,Bills
2023-10-06,UPI to Friend,Miscellaneous,1500.0,Miscellaneous
2023-07-07,MedPlus,MedPlus,190.0,Health
2024-02-06,zomato order,Zomato,650.0,Food & Drink
2023-09-12,Reliance Fresh,Reliance Fresh,1100.0,Groceries
2024-04-23,Uber Ride 20250423,Uber,205.0,Transport
2025-08-31,NETFLIX.COM 892379,Netflix,199.0,Subscriptions
2023-03-17,BigBazaar,BigBazaar,3800.0,Groceries
2025-06-08,amazon pay,Amazon,850.0,Shopping
2023-01-05,House Rent,House Rent,22000.0,Rent
2023-10-25,TNEB Bill,TNEB,1250.0,Utilities
2023-07-15,Swiggy,Swiggy,490.0,Food & Drink
2023-02-27,Fuel at IOCL,Indian Oil,3000.0,Transport
2023-05-02,PVR Cinemas,PVR Cinemas,710.0,Entertainment
2025-09-19,Amazon.in,Amazon,599.0,Shopping
2024-01-21,Apollo Pharmacy,Apollo Pharmacy,430.0,Health
2023-08-09,Rapido 2405,Rapido,75.0,Transport
2023-04-01,Cafe Coffee Day,Cafe Coffee Day,290.0,Food & Drink
2025-06-13,Milk delivery,Local Mart,1300.0,Groceries
2024-10-31,uber trip,Uber,170.0,Transport
2023-03-26,Zomato,Zomato,380.0,Food & Drink
2024-09-05,ACT Fibernet,ACT Fibernet,1049.0,Utilities
2024-05-21,Disney+ Hotstar,Hotstar,499.0,Subscriptions
2024-01-02,Zomato Order #2348,Zomato,510.0,Food & Drink
2023-08-24,BigBazaar,BigBazaar,2750.0,Groceries
2024-06-25,Myntra Order MYN1009,Myntra,1999.0,Shopping
2025-03-09,Uber Trip 20250309,Uber,240.0,Transport
2024-10-11,Spotify,Spotify,119.0,Subscriptions
2025-07-27,Groceries from Dunzo,Dunzo,1050.0,Groceries
2024-02-14,Dominos,Dominos,690.0,Food & Drink
2025-05-05,Ola Ride,Ola,180.0,Transport
2023-09-26,FLIPKART Order FK2402,Flipkart,899.0,Shopping
2025-01-16,BSNL Bill,BSNL,799.0,Utilities
2023-08-13,Swiggy Instamart,Swiggy,410.0,Groceries
2024-04-08,Doctor's Visit,Local Clinic,800.0,Health
2024-10-23,Amazon.in,Amazon,2100.0,Shopping
2025-06-18,Zomato,Zomato,360.0,Food & Drink
2024-03-20,uber auto,Uber,100.0,Transport
2023-09-11,MedPlus Bill,MedPlus,320.0,Health
2024-01-27,Pizza Hut,Pizza Hut,950.0,Food & Drink
2025-07-14,BookMyShow,BookMyShow,810.0,Entertainment
2023-05-28,More Supermarket,More Supermarket,2150.0,Groceries
2025-10-04,swiggy,Swiggy,530.0,Food & Drink
2023-02-03,ZARA,Zara,5300.0,Shopping
2023-08-29,Water Tax,CMWSSB,150.0,Utilities
2025-04-18,Ola Cabs 2352,Ola,270.0,Transport
2025-06-05,IMPS - Rent Jun,House Rent,22000.0,Rent
2023-01-20,H&M,H&M,2990.0,Shopping
2024-09-18,Licious,Licious,690.0,Groceries
2024-03-14,The Hindu,The Hindu,999.0,Subscriptions
2025-07-25,Shell Fuel,Shell,1800.0,Transport
2023-10-16,swiggy order,Swiggy,470.0,Food & Drink
2025-05-11,amazon.in,Amazon,1199.0,Shopping
2025-02-20,Apollo Pharmacy,Apollo Pharmacy,240.0,Health
2024-08-22,Reliance Fresh,Reliance Fresh,1050.0,Groceries
2025-04-25,Steam Purchase,Steam Games,1999.0,Entertainment
2025-09-30,Uber Ride,Uber,220.0,Transport
2025-01-08,Zomato,Zomato,310.0,Food & Drink
2024-06-23,Milk delivery,Local Mart,1250.0,Groceries
2024-03-05,Mobile Recharge,Jio,239.0,Bills
2025-10-29,Google Cloud,Google,150.0,Subscriptions
2023-07-04,Gym Membership,Fitness First,2500.0,Health
2023-02-18,flipkart,Flipkart,1599.0,Shopping
2025-09-09,Rapido 2406,Rapido,85.0,Transport
2025-05-16,Cafe Coffee Day,Cafe Coffee Day,310.0,Food & Drink
2024-01-29,Zomato,Zomato,530.0,Food & Drink
2023-08-18,BigBazaar,BigBazaar,2900.0,Groceries
2025-04-03,amazon pay,Amazon,700.0,Shopping
2024-10-01,NETFLIX.COM,Netflix,199.0,Subscriptions
2025-06-01,UPI to Friend,Miscellaneous,1000.0,Miscellaneous
2024-03-24,uber trip,Uber,180.0,Transport
2024-09-21,Swiggy,Swiggy,400.0,Food & Drink
2024-05-23,MedPlus,MedPlus,160.0,Health
2023-01-14,More Supermarket,More Supermarket,2250.0,Groceries
2025-08-07,Myntra,Myntra,3300.0,Shopping
2025-04-16,TNEB Bill,TNEB,1020.0,Utilities
2023-10-13,PVR Cinemas,PVR Cinemas,490.0,Entertainment
2025-07-09,Zomato order,Zomato,720.0,Food & Drink
2024-02-08,House Rent,House Rent,22000.0,Rent
2023-06-10,Uber,Uber,140.0,Transport
2025-09-04,Groceries from Dunzo,Dunzo,920.0,Groceries
2025-03-31,Spotify,Spotify,119.0,Subscriptions
2025-08-26,Dominos,Dominos,610.0,Food & Drink
2024-05-01,Ola Ride,Ola,250.0,Transport
2025-10-20,Swiggy Instamart,Swiggy,430.0,Groceries
2024-01-04,Amazon.in,Amazon,1700.0,Shopping
2023-07-20,Zomato,Zomato,300.0,Food & Drink
2024-04-21,BSNL Bill,BSNL,799.0,Utilities
2025-09-14,Apollo Pharmacy,Apollo Pharmacy,580.0,Health
2024-02-25,uber auto,Uber,110.0,Transport
2024-06-27,BigBazaar,BigBazaar,3600.0,Groceries
2024-03-11,flipkart,Flipkart,2300.0,Shopping
2024-08-15,swiggy,Swiggy,320.0,Food & Drink
2023-05-19,Local Tea Stall,Local Tea Shop,40.0,Food & Drink
2025-10-08,Rapido,Rapido,115.0,Transport
2025-01-23,Netflix,Netflix,199.0,Subscriptions
2025-07-17,Zomato Order #2351,Zomato,370.0,Food & Drink
2025-04-10,Uber Trip 20250410,Uber,180.0,Transport
2024-09-25,Reliance Fresh,Reliance Fresh,1350.0,Groceries
2025-02-12,Swiggy Foods,Swiggy,560.0,Food & Drink
2024-08-03,Apollo Pharmacy,Apollo Pharmacy,330.0,Health
2023-05-26,Ola Cabs,Ola,240.0,Transport
2023-10-24,Cafe Coffee Day,Cafe Coffee Day,320.0,Food & Drink
2025-03-04,Amazon.in Order AMZ931,Amazon,2099.0,Shopping
2023-06-30,TNEB Bill Pay,TNEB,1390.0,Utilities
2025-01-11,BSNL FTTH,BSNL,799.0,Utilities
2023-08-10,IMPS - Rent Aug,House Rent,22000.0,Rent
2024-04-07,PVR Cinemas,PVR Cinemas,630.0,Entertainment
2024-09-17,BookMyShow,BookMyShow,830.0,Entertainment
2024-02-22,Fuel IOCL,Indian Oil,2300.0,Transport
2025-07-13,Myntra Order MYN1010,Myntra,2299.0,Shopping
2023-05-07,Zomato order 5828,Zomato,480.0,Food & Drink
2023-10-17,Spotify AB 92391,Spotify,119.0,Subscriptions
2024-03-18,Dunzo,Dunzo,860.0,Groceries
2025-08-06,RAPIDO RIDE 2316,Rapido,100.0,Transport
2024-02-09,zomato,Zomato,240.0,Food & Drink
2023-06-06,ACT Fibernet,ACT Fibernet,1049.0,Utilities
2023-09-07,BigBazaar Purchase,BigBazaar,3300.0,Groceries
2024-01-26,MedPlus Bill,MedPlus,360.0,Health
2025-07-01,Starbucks,Starbucks,490.0,Food & Drink
2023-04-26,swiggy food,Swiggy,630.0,Food & Drink
2023-10-12,Amazon Prime,Amazon Prime,299.0,Subscriptions
2023-02-28,FLIPKART Order FK2403,Flipkart,510.0,Shopping
2024-08-19,Dominos Pizza,Dominos,790.0,Food & Drink
2024-03-25,Uber Ride 20250325,Uber,160.0,Transport
2025-09-22,Local Tea Shop,Local Tea Shop,50.0,Food & Drink
2025-05-24,CMRL Metro Card,Chennai Metro,300.0,Transport
2024-01-07,More Supermarket,More Supermarket,1950.0,Groceries
2024-07-24,ZARA,Zara,5200.0,Shopping
2024-04-13,swiggy instamart,Swiggy,390.0,Groceries
2025-10-30,Doctor's Visit,Local Clinic,800.0,Health
2023-02-04,Uber Auto,Uber,130.0,Transport
2025-08-12,Disney+ Hotstar,Hotstar,499.0,Subscriptions
2025-05-13,ATM WITHDRAWAL,ATM,3500.0,Miscellaneous
2024-01-18,Pizza Hut,Pizza Hut,930.0,Food & Drink
2024-09-13,Zomato order 9929,Zomato,300.0,Food & Drink
2023-03-16,H&M,H&M,2400.0,Shopping
2023-07-10,Water Tax,CMWSSB,150.0,Utilities
2025-10-26,Ola Cabs 2353,Ola,340.0,Transport
2025-02-24,Licious,Licious,700.0,Groceries
2023-08-21,The Hindu,The Hindu,999.0,Subscriptions
2024-04-19,Shell Fuel,Shell,1700.0,Transport
2025-09-29,swiggy order,Swiggy,510.0,Food & Drink
2025-01-06,amazon.in,Amazon,1099.0,Shopping
2023-07-18,Apollo Pharmacy,Apollo Pharmacy,230.0,Health
2024-05-04,Reliance Fresh,Reliance Fresh,980.0,Groceries
2024-10-03,Steam Purchase,Steam Games,1599.0,Entertainment
2025-03-01,Uber Ride,Uber,240.0,Transport
2024-08-28,Zomato,Zomato,360.0,Food & Drink
2025-02-16,Milk delivery,Local Mart,1220.0,Groceries
2025-06-20,Mobile Recharge,Airtel,299.0,Bills
2023-09-16,Google Cloud,Google,150.0,Subscriptions
2025-04-22,Gym Membership,Fitness First,2500.0,Health
2025-01-13,flipkart,Flipkart,1200.0,Shopping
2024-07-29,Rapido 2407,Rapido,90.0,Transport
2024-05-08,Cafe Coffee Day,Cafe Coffee Day,340.0,Food & Drink
2024-10-28,Zomato,Zomato,530.0,Food & Drink
2024-02-07,BigBazaar,BigBazaar,2700.0,Groceries
2024-08-04,amazon pay,Amazon,820.0,Shopping
2025-04-09,NETFLIX.COM,Netflix,199.0,Subscriptions
2025-09-24,UPI to Friend,Miscellaneous,2000.0,Miscellaneous
2025-03-13,uber trip,Uber,210.0,Transport
2025-06-09,Swiggy,Swiggy,420.0,Food & Drink
2025-01-25,MedPlus,MedPlus,180.0,Health
2025-08-17,More Supermarket,More Supermarket,2300.0,Groceries
2023-04-15,Myntra,Myntra,3500.0,Shopping
2025-09-27,TNEB Bill,TNEB,1100.0,Utilities
2023-02-19,PVR Cinemas,PVR Cinemas,500.0,Entertainment
2024-07-26,Zomato order,Zomato,740.0,Food & Drink
2024-10-15,Uber,Uber,150.0,Transport
2023-03-23,Groceries from Dunzo,Dunzo,960.0,Groceries
2023-08-30,Spotify,Spotify,119.0,Subscriptions
2023-01-10,Dominos,Dominos,630.0,Food & Drink
2023-06-22,Ola Ride,Ola,270.0,Transport
2024-09-06,Swiggy Instamart,Swiggy,450.0,Groceries
2025-02-13,Amazon.in,Amazon,1800.0,Shopping
2025-07-06,Zomato,Zomato,320.0,Food & Drink
2023-04-27,BSNL Bill,BSNL,799.0,Utilities
2024-10-19,Apollo Pharmacy,Apollo Pharmacy,590.0,Health
2024-03-08,uber auto,Uber,105.0,Transport
2024-08-25,BigBazaar,BigBazaar,3700.0,Groceries
2023-01-22,flipkart,Flipkart,2500.0,Shopping
2025-06-12,swiggy,Swiggy,340.0,Food & Drink
2024-09-20,Local Tea Stall,Local Tea Shop,50.0,Food & Drink
2023-02-02,Rapido,Rapido,125.0,Transport
2025-07-23,Netflix,Netflix,199.0,Subscriptions
2025-04-02,Zomato Order #2352,Zomato,380.0,Food & Drink
2024-09-03,Uber Trip 20250903,Uber,200.0,Transport
2023-01-17,Reliance Fresh,Reliance Fresh,1450.0,Groceries
2023-06-15,Swiggy Foods,Swiggy,570.0,Food & Drink
2024-03-19,Apollo Pharmacy,Apollo Pharmacy,340.0,Health
2023-08-23,Ola Cabs,Ola,220.0,Transport
2023-04-12,Cafe Coffee Day,Cafe Coffee Day,330.0,Food & Drink
