date,description,merchant,amount,category
2025-04-16,TNEB Bill,TNEB,1020.0,Utilities
2025-02-04,PG Rent Aug,Stanza Living,7753.68,Rent
2023-03-28,Charity Donation 702,Charity,1069.95,Miscellaneous
2025-08-16,Spotify,Spotify,119.0,Subscriptions
2025-12-13,Lab Test 595,Thyrocare,1254.54,Health
2025-07-08,NETFLIX.COM 10243,Netflix,843.0,Subscriptions
2025-12-16,Zomato order 8625,Zomato,458.0,Food & Drink
2024-09-25,AIRTEL BROADBAND FTTH 10101,Airtel Broadband,1413.0,Utilities
2023-05-29,Doctor Visit,Local Clinic,1236.0,Health
2025-10-11,CMRL Metro Card Recharge,Chennai Metro,500.0,Transport
2023-03-03,Jio Fiber FTTH 10080,Jio Fiber,1022.0,Utilities
2024-04-17,Movie Ticket 823,BookMyShow,322.99,Entertainment
2023-04-23,Myntra,Myntra,4000.0,Shopping
2023-10-23,UPI to Friend,Miscellaneous,1000.0,Miscellaneous
2023-02-06,Rapido Ride 9651,Rapido,149.0,Transport
2025-06-08,swiggy,Swiggy,360.0,Food & Drink
2025-05-11,amazon.in,Amazon,1199.0,Shopping
2023-03-11,BookMyShow Transaction,BookMyShow,914.0,Entertainment
2024-01-06,Fuel at BPCL Bill 10008,BPCL,2203.0,Transport
2023-04-11,Streaming Sub 627,Netflix,184.55,Entertainment
2024-09-18,Licious,Licious,690.0,Groceries
2023-03-29,uber trip,Uber,240.0,Transport
2024-02-06,Myntra Retail,Myntra,8517.0,Shopping
2025-12-06,Spotify AB 92386,Spotify,119.0,Subscriptions
2024-08-01,amazon pay,Amazon,870.0,Shopping
2025-10-11,Croma.com Inv#10170,Croma,6907.0,Shopping
2025-07-07,Starbucks,Starbucks,520.0,Food & Drink
2024-10-17,Flat Rent Jan,Landlord,16375.96,Rent
2025-05-17,Reliance Fresh,Reliance Fresh,1100.0,Groceries
2024-09-05,Zomato order 9934,Zomato,350.0,Food & Drink
2025-11-27,Zomato,Zomato,310.0,Food & Drink
2023-01-08,MedPlus Bill,MedPlus,435.0,Health
2023-03-22,Swiggy order 2070,Swiggy,461.0,Food & Drink
2024-08-10,amazon pay,Amazon,880.0,Shopping
2023-11-20,ZARA RETAIL,Zara,7864.0,Shopping
2023-07-11,Printout 385,Xerox Shop,51.33,Miscellaneous
2023-07-16,Electricity Bill 941,TNEB,1263.26,Bills
2023-08-18,BigBazaar,BigBazaar,2900.0,Groceries
2023-10-31,Swiggy Instamart Purchase 10018,Swiggy Instamart,447.0,Groceries
2024-10-31,Gas Cylinder 350,Indane,1080.44,Bills
2024-01-09,TNEB Bill Pay 10012,TNEB,1438.0,Utilities
2023-08-10,The Hindu,The Hindu,999.0,Subscriptions
2024-05-02,Charity Donation 708,Charity,939.27,Miscellaneous
2023-03-10,Rapido Ride 4802,Rapido,110.0,Transport
2024-01-20,Steam Purchase 10011,Steam Games,799.0,Entertainment
2025-08-18,BigBazaar,BigBazaar,3800.0,Groceries
2025-01-11,MedPlus Bill,MedPlus,420.0,Health
2023-10-11,Uber Ride 20251011,Uber,140.0,Transport
2025-08-06,Maintenance Charge 923,Association,1922.0,Rent
2024-12-03,Amazon.in Order AMZ925,Amazon,2199.0,Shopping
2023-10-15,Ola Cabs 2345,Ola,310.0,Transport
2025-11-15,House Rent Nov,House Rent,18878.55,Rent
2024-11-08,MedPlus Bill,MedPlus,350.0,Health
2024-12-02,Ola Cabs,Ola,230.0,Transport
2025-04-15,NETFLIX.COM,Netflix,199.0,Subscriptions
2023-10-25,Zomato order,Zomato,710.0,Food & Drink
2025-03-09,Amusement Park 303,Wonderla,1098.35,Entertainment
2025-12-16,Amazon Order 3662,Amazon,3554.0,Shopping
2025-01-22,NETFLIX.COM 5678,Netflix,199.0,Subscriptions
2025-01-20,ZARA RETAIL,Zara,7864.0,Shopping
2025-01-08,Broadband Bill 443,ACT Fibernet,1094.2,Bills
2024-01-14,Amazon Order 3502,Amazon,1535.0,Shopping
2024-09-08,Amazon Prime renewal 10060,Amazon Prime,1499.0,Subscriptions
2023-02-26,More Supermarket Purchase,More Supermarket,1799.0,Groceries
2025-03-02,Pizza Hut Bill,Pizza Hut,910.0,Food & Drink
2024-06-29,Order Blinkit 10232,Blinkit,781.0,Groceries
2023-06-06,Broadband Bill 595,ACT Fibernet,1148.44,Bills
2025-01-29,Water Tax 537,CMWSSB,162.02,Bills
2024-02-15,Amazon Prime renewal 10060,Amazon Prime,1499.0,Subscriptions
2024-01-26,MedPlus Bill,MedPlus,360.0,Health
2025-09-06,Google Cloud,Google,150.0,Subscriptions
2025-01-08,Zomato,Zomato,310.0,Food & Drink
2025-10-22,Zomato,Zomato,570.0,Food & Drink
2025-08-22,Order #10302 from Zomato,Zomato,268.0,Food & Drink
2025-12-04,BSNL FTTH,BSNL,799.0,Utilities
2023-02-27,Zomato order 4337,Zomato,450.0,Food & Drink
2025-09-01,Movie Ticket 712,BookMyShow,306.75,Entertainment
2024-04-13,swiggy instamart,Swiggy,390.0,Groceries
2023-03-15,Swiggy Instamart Purchase 10096,Swiggy Instamart,769.0,Groceries
2023-03-16,Dunzo,Dunzo,900.0,Groceries
2023-05-06,Rent Payment 776,Owner,20044.52,Rent
2024-06-15,Spotify AB 10213,Spotify,129.0,Subscriptions
2024-04-24,Shell Fuel,Shell,1800.0,Transport
2024-05-22,Zomato order 5830,Zomato,500.0,Food & Drink
2023-01-28,House Rent Oct,House Rent,20131.74,Rent
2024-03-26,Zomato order 3591,Swiggy,630.0,Food & Drink
2024-04-18,Myntra,Myntra,3700.0,Shopping
2023-04-04,NETFLIX.COM,Netflix,199.0,Subscriptions
2024-08-15,Mobile Recharge 844,Jio,306.63,Bills
2025-05-24,ATM WITHDRAWAL,ATM,5500.0,Miscellaneous
2023-07-15,Repair Services 441,Urban Company,363.34,Miscellaneous
2025-03-29,Myntra,Myntra,4100.0,Shopping
2025-02-09,BigBazaar Purchase,BigBazaar,3163.0,Groceries
2025-01-16,BSNL Bill,BSNL,799.0,Utilities
2024-01-04,Licious Purchase,Licious,898.0,Groceries
2024-07-24,Apollo Pharmacy,Apollo Pharmacy,260.0,Health
2024-04-28,Water Tax 744,CMWSSB,156.5,Bills
2023-02-12,Zomato order 2736,Zomato,623.0,Food & Drink
2024-08-12,PG Rent Jun,Stanza Living,8000.76,Rent
2023-01-28,Reliance Fresh,Reliance Fresh,1650.0,Groceries
2025-08-21,Swiggy Instamart Purchase 10141,Swiggy Instamart,678.0,Groceries
2025-02-06,zomato,Zomato,290.0,Food & Drink
2025-04-18,Ola Cabs 2352,Ola,270.0,Transport
2023-01-27,CMRL Topup 10036,Chennai Metro,300.0,Transport
2024-04-28,NETFLIX.COM,Netflix,199.0,Subscriptions
2023-03-02,Medicines 936,Apollo,344.59,Health
2025-11-10,BigBazaar Purchase 10010,BigBazaar,2620.0,Groceries
2023-03-11,uber trip,Uber,270.0,Transport
2024-01-10,Dominos Bill 10013,Dominos,1031.0,Food & Drink
2024-03-11,FLIPKART Order FK2406,Flipkart,570.0,Shopping
2023-12-08,Croma.com Inv#10132,Croma,6272.0,Shopping
2024-09-21,Swiggy,Swiggy,400.0,Food & Drink
2024-10-03,Steam Purchase,Steam Games,1599.0,Entertainment
2023-10-05,Flat Rent Mar,Landlord,18256.75,Rent
2024-08-12,Reliance Fresh Purchase 10289,Reliance Fresh,3350.0,Groceries
2025-03-14,More Supermarket Purchase,More Supermarket,1968.0,Groceries
2023-06-13,Charity Donation 455,Charity,1051.65,Miscellaneous
2023-01-29,Zomato order 4446,Zomato,380.0,Food & Drink
2023-02-24,Courier Charges 730,DTDC,95.4,Miscellaneous
2024-07-06,Zomato,Zomato,360.0,Food & Drink
2023-11-07,Rapido Ride ID10171,Rapido,133.0,Transport
2023-07-22,BigBazaar Store Bill,BigBazaar,4355.0,Groceries
2024-12-10,Monthly Rent 458,NoBroker,19896.91,Rent
2023-09-13,Flat Rent Aug,Landlord,16732.03,Rent
2025-10-25,Medicines 366,Apollo,344.93,Health
2023-03-31,Subscr The Hindu,The Hindu,1299.0,Subscriptions
2025-12-21,ZARA Retail Purchase,Zara,5156.0,Shopping
2023-07-13,Rapido 2409,Rapido,110.0,Transport
2024-01-26,PVR Cinemas Ticket 10047,PVR Cinemas,964.0,Entertainment
2025-10-09,swiggy food,Swiggy,600.0,Food & Drink
2024-01-24,Amazon Order 5698,Amazon,3886.0,Shopping
2023-11-06,Spotify AB 92385,Spotify,119.0,Subscriptions
2025-05-05,Maintenance Charge 120,Association,2097.6,Rent
2023-03-29,TNEB Bill Pay 10114,TNEB,2668.0,Utilities
2025-02-10,Payment to McDonald's,McDonald's,922.0,Food & Drink
2025-03-09,uber trip,Uber,230.0,Transport
2024-09-06,GYM FEE,Fitness First,1812.0,Health
2025-03-17,Dominos Bill,Dominos,912.0,Food & Drink
2024-10-03,Amazon Prime,Amazon Prime,299.0,Subscriptions
2023-06-22,BILL BSNL ID 10223,BSNL,2315.0,Utilities
2025-02-28,Rapido,Rapido,160.0,Transport
2025-08-29,Ola Cabs,Ola,240.0,Transport
2023-12-22,NETFLIX.COM 5678,Netflix,199.0,Subscriptions
2023-01-09,Dunzo Groceries,Dunzo,1048.0,Groceries
2025-10-30,Amazon.in Order AMZ10089,Amazon,4844.0,Shopping
2025-06-21,BSNL FTTH Bill,BSNL,799.0,Utilities
2024-02-01,Monthly Rent 703,NoBroker,21117.4,Rent
2024-08-10,Amazon.in Order AMZ10286,Amazon,5159.0,Shopping
2024-03-07,Streaming Sub 657,Netflix,202.09,Entertainment
2023-11-19,Google Cloud,Google,150.0,Subscriptions
2025-12-13,Amazon.in Order AMZ10089,Amazon,4844.0,Shopping
2024-08-17,Electricity Bill 509,TNEB,1223.91,Bills
2024-10-04,Amazon.in Order AMZ923,Amazon,2999.0,Shopping
2025-03-31,Spotify,Spotify,119.0,Subscriptions
2024-07-28,ZARA,Zara,5300.0,Shopping
2025-02-03,Swiggy order 3591,Swiggy,472.0,Food & Drink
2023-06-18,Broadband Bill 192,ACT Fibernet,1023.45,Bills
2025-06-12,swiggy,Swiggy,340.0,Food & Drink
2025-02-12,Uber Ride 5183,Uber,228.0,Transport
2023-03-21,UPI to Friend 864,UPI,520.19,Miscellaneous
2025-07-07,Repair Services 616,Urban Company,379.5,Miscellaneous
2025-06-25,TNEB Bill Pay 10226,TNEB,2661.0,Utilities
2024-12-01,Zomato Order #2347,Zomato,360.0,Food & Drink
2024-11-15,Charity Donation 693,Charity,1081.75,Miscellaneous
2023-02-05,BSNL FTTH Bill,BSNL,799.0,Utilities
2024-12-09,Uber Ride 7644,Uber,141.0,Transport
2025-01-11,Reliance Fresh,Reliance Fresh,1550.0,Groceries
2025-08-26,Rent Payment 847,Owner,23515.14,Rent
2025-11-07,Dental Checkup 522,Clove Dental,750.03,Health
2023-10-17,Spotify AB 92391,Spotify,119.0,Subscriptions
2023-11-18,Milk delivery,Local Mart,1200.0,Groceries
2025-09-07,Rent Payment 286,Owner,21815.31,Rent
2025-12-24,Printout 107,Xerox Shop,49.07,Miscellaneous
2023-06-29,Postpaid Bill 237,Airtel,546.59,Bills
2024-01-11,Fuel at Indian Oil,Indian Oil,2228.0,Transport
2025-10-11,Stationery 950,Local Shop,110.51,Miscellaneous
2025-03-09,Swiggy Instamart,Swiggy,509.0,Groceries
2025-10-27,Gym Supplement 767,HealthKart,2728.64,Health
2024-08-31,Order Blinkit 10035,Blinkit,825.0,Groceries
2023-08-02,BookMyShow,BookMyShow,840.0,Entertainment
2024-01-25,Zomato order 4465,Zomato,710.0,Food & Drink
2023-03-12,uber auto,Uber,115.0,Transport
2024-04-14,Gym Membership,Fitness First,2500.0,Health
2025-02-08,Uber Ride 5066,Uber,294.0,Transport
2024-05-15,Swiggy Foods,Swiggy,929.0,Food & Drink
2024-04-11,Medicines 476,Apollo,344.82,Health
2025-02-17,Swiggy order 4165,Swiggy,617.0,Food & Drink
2023-04-12,Cafe Coffee Day,Cafe Coffee Day,330.0,Food & Drink
2023-06-15,Swiggy Foods,Swiggy,570.0,Food & Drink
2025-11-14,Water Tax,CMWSSB,150.0,Utilities
2025-03-24,Flipkart Order FK10108,Flipkart,10065.0,Shopping
2024-04-01,NETFLIX.COM,Netflix,199.0,Subscriptions
2023-09-23,Gym Supplement 660,HealthKart,2255.17,Health
2025-07-17,Swiggy Foods,Swiggy,929.0,Food & Drink
2024-08-30,Gas Cylinder 853,Indane,1129.06,Bills
2025-09-15,TNEB Bill,TNEB,1350.0,Utilities
2025-12-24,Swiggy order 9051,Swiggy,381.0,Food & Drink
2025-01-09,TNEB Bill Payment 100238,TNEB,1120.0,Utilities
2024-03-13,Licious Purchase 10093,Licious,995.0,Groceries
2025-09-16,Courier Charges 288,DTDC,99.21,Miscellaneous
2023-10-21,Rapido 2398,Rapido,80.0,Transport
2024-11-06,PG Rent Aug,Stanza Living,8701.64,Rent
2025-11-10,Uber Ride 20251110,Uber,150.0,Transport
2023-03-18,H&M,H&M,2600.0,Shopping
2023-07-24,House Rent Mar,House Rent,18721.71,Rent
2023-05-30,Payment to Cafe Coffee Day,Cafe Coffee Day,779.0,Food & Drink
2024-08-19,Mobile Recharge 450,Jio,277.04,Bills
2025-04-29,swiggy food,Swiggy,670.0,Food & Drink
2025-03-05,Uber Ride,Uber,270.0,Transport
2023-01-23,Licious Purchase,Licious,804.0,Groceries
2025-09-21,UPI to Friend,Miscellaneous,3500.0,Miscellaneous
2025-06-23,ACT Fibernet,ACT Fibernet,1049.0,Utilities
2025-04-02,Zomato Order #2352,Zomato,380.0,Food & Drink
2025-05-25,Lab Test 674,Thyrocare,1202.44,Health
2023-06-23,Courier Charges 326,DTDC,104.34,Miscellaneous
2024-03-08,Swiggy order 4066,Zomato,355.0,Food & Drink
2023-04-02,Ola Ride 9062,Swiggy,273.0,Transport
2024-07-03,Water Tax,CMWSSB,150.0,Utilities
2025-02-06,Medicines 809,Apollo,381.81,Health
2023-10-26,Electricity Bill 356,TNEB,1190.3,Bills
2025-05-21,Stationery 165,Local Shop,121.89,Miscellaneous
2024-11-10,Local Tea Shop,Local Tea Shop,50.0,Food & Drink
2025-01-28,flipkart,Flipkart,1300.0,Shopping
2023-01-03,Pizza Hut,Pizza Hut,940.0,Food & Drink
2023-10-03,Payment to Starbucks,Starbucks,1065.0,Food & Drink
2023-10-04,Postpaid Bill 623,Airtel,499.7,Bills
2023-02-04,Uber Auto,Uber,130.0,Transport
2023-01-30,Flipkart Order 7136,Flipkart,2035.0,Shopping
2023-08-09,Zomato,Zomato,400.0,Food & Drink
2025-08-24,Dominos Pizza,Dominos,830.0,Food & Drink
2024-11-22,ORDER #10163 FROM SWIGGY,Swiggy,981.0,Food & Drink
2025-02-25,Mobile Recharge 417,Jio,278.95,Bills
2025-09-25,Swiggy Instamart,Swiggy,480.0,Groceries
2023-03-27,Uber Ride,Uber,280.0,Transport
2023-02-07,Uber Ride 5769,Uber,238.0,Transport
2024-11-27,UPI to Zomato Order #10106,Zomato,514.0,Food & Drink
2025-10-05,PVR Cinemas Food,PVR Cinemas,600.0,Entertainment
2025-04-03,amazon pay,Amazon,700.0,Shopping
2024-01-19,Mobile Recharge,Airtel,246.0,Bills
2025-06-12,Ola Ride,Ola,310.0,Transport
2024-02-09,Fuel IOCL,Indian Oil,2500.0,Transport
2025-01-21,TNEB Bill Pay,TNEB,1470.0,Utilities
2023-10-03,Ola Cabs Ride 9023,Ola,220.0,Transport
2025-12-15,PVR Cinemas Transaction,PVR Cinemas,661.0,Entertainment
2023-07-31,Monthly Rent 132,NoBroker,18261.51,Rent
2024-09-29,Local Tea Stall,Local Tea Shop,100.0,Food & Drink
2023-01-22,More Supermarket,More Supermarket,2200.0,Groceries
2023-11-02,Swiggy Foods,Swiggy,530.0,Food & Drink
2025-01-26,Reliance Fresh,Reliance Fresh,1700.0,Groceries
2025-08-04,BSNL FTTH 10278,BSNL,2347.0,Utilities
2025-05-13,House Rent Mar,House Rent,20445.79,Rent
2024-06-27,Movie Ticket 183,BookMyShow,285.28,Entertainment
2025-06-07,Gaming Currency 949,Steam,494.43,Entertainment
2025-05-08,Gym Fee,Fitness First,1812.0,Health
2024-03-24,Cafe Coffee Day Bill,Cafe Coffee Day,362.0,Food & Drink
2025-07-23,Myntra Order MYN1015,Myntra,2799.0,Shopping
2023-09-11,MedPlus Bill,MedPlus,320.0,Health
2025-02-16,BigBazaar Purchase,BigBazaar,2920.0,Groceries
2025-03-07,uber auto,Uber,165.0,Transport
2024-01-03,MedPlus,MedPlus,220.0,Health
2025-11-02,Apollo Pharmacy,Apollo Pharmacy,300.0,Health
2024-10-31,Broadband Bill 569,ACT Fibernet,991.35,Bills
2025-01-19,amazon.in,Amazon,1199.0,Shopping
2025-03-19,Uber Ride,Uber,300.0,Transport
2023-01-05,Amazon.in Order AMZ10176,Amazon,1818.0,Shopping
2023-01-01,Dominos,Dominos,680.0,Food & Drink
2024-10-31,uber trip,Uber,170.0,Transport
2025-04-11,Gym Membership,Fitness First,2500.0,Health
2024-02-26,BigBazaar,BigBazaar,2800.0,Groceries
2023-01-27,More Supermarket,More Supermarket,2100.0,Groceries
2025-07-29,Netflix,Netflix,199.0,Subscriptions
2023-07-06,Repair Services 911,Urban Company,390.32,Miscellaneous
2023-09-21,PG Rent Jun,Stanza Living,7335.79,Rent
2025-03-27,ORDER #10112 FROM SWIGGY,Swiggy,917.0,Food & Drink
2024-03-24,Groceries from Dunzo,Dunzo,1020.0,Groceries
2023-02-26,Dominos Bill,Dominos,873.0,Food & Drink
2024-02-12,Charity Donation 485,Charity,1098.71,Miscellaneous
2023-04-16,Licious Purchase 10137,Licious,751.0,Groceries
2025-10-22,Postpaid Bill 637,Airtel,504.31,Bills
2023-10-16,swiggy order,Swiggy,470.0,Food & Drink
2025-07-06,Postpaid Bill 671,Airtel,485.84,Bills
2023-02-11,Spotify AB 10055,Spotify,129.0,Subscriptions
2025-02-28,Pizza Hut Bill,Pizza Hut,733.0,Food & Drink
2025-06-17,Courier Charges 705,DTDC,108.58,Miscellaneous
2025-07-14,Postpaid Bill 839,Airtel,525.92,Bills
2024-03-27,PAYMENT TO CAFE COFFEE DAY,Cafe Coffee Day,652.0,Food & Drink
2025-06-08,ACT Fibernet,ACT Fibernet,1049.0,Utilities
2023-08-19,Gym Fee,Fitness First,1968.0,Health
2024-09-01,Bowling 635,Amoeba,399.92,Entertainment
2024-08-20,Amazon.in Order AMZ10299,Amazon,4844.0,Shopping
2025-01-06,amazon.in,Amazon,1099.0,Shopping
2024-08-14,Order #10291 from Zomato,Zomato,753.0,Food & Drink
2024-11-11,PG Rent May,Stanza Living,7696.11,Rent
2025-01-13,flipkart,Flipkart,1200.0,Shopping
2023-02-13,Gaming Currency 598,Steam,465.08,Entertainment
2025-01-02,RAPIDO RIDE ID10171,Rapido,133.0,Transport
2025-02-23,Licious Order,Licious,720.0,Groceries
2025-01-09,MedPlus Bill,MedPlus,400.0,Health
2023-08-09,Rapido 2405,Rapido,75.0,Transport
2025-01-23,Netflix,Netflix,199.0,Subscriptions
2025-07-09,Sony PSN Purchase 10245,Sony PSN,1656.0,Entertainment
2025-12-02,Apollo Pharmacy,Apollo Pharmacy,320.0,Health
2025-02-19,OLA AUTO 10065,Ola,282.0,Transport
2023-05-28,More Supermarket,More Supermarket,2150.0,Groceries
2025-09-15,BookMyShow Movie,BookMyShow,680.0,Entertainment
2025-06-16,House Rent May,House Rent,18434.79,Rent
2025-02-18,Ola Ride 8516,Ola,129.0,Transport
2023-01-16,CMRL TOPUP 10036,Chennai Metro,286.0,Transport
2023-07-09,Postpaid Bill 161,Airtel,528.45,Bills
2024-09-26,CMRL TOPUP 10036,Chennai Metro,286.0,Transport
2024-07-11,Postpaid Bill 469,Airtel,521.46,Bills
2024-01-20,Local Tea Shop Bill 10027,Local Tea Shop,288.0,Food & Drink
2023-03-17,Uber Ride 5971,Uber,262.0,Transport
2025-08-27,Water Tax 984,CMWSSB,138.18,Bills
2023-12-27,Uber Ride 4305,Uber,219.0,Transport
2023-12-31,Rapido Ride 1907,Rapido,141.0,Transport
2023-01-19,Uber Ride 5262,Uber,217.0,Transport
2025-10-03,Streaming Sub 575,Netflix,180.12,Entertainment
2024-07-04,Maintenance Charge 458,Association,1940.46,Rent
2025-01-25,MedPlus,MedPlus,180.0,Health
2024-02-29,Charity Donation 964,Charity,905.86,Miscellaneous
2023-12-19,Milk delivery,Local Mart,1200.0,Groceries
2023-07-22,Flat Rent Feb,Landlord,18721.27,Rent
2025-09-01,IMPS - House Rent Sep,House Rent,18490.0,Rent
2025-09-30,Gas Cylinder 290,Indane,1180.45,Bills
2024-02-03,Fuel at Shell Bill 10044,Shell,2085.0,Transport
2024-09-17,swiggy order,Swiggy,560.0,Food & Drink
2024-11-06,Printout 283,Xerox Shop,51.26,Miscellaneous
2025-02-20,Doctor Visit,Local Clinic,1254.0,Health
2024-06-25,Mobile Recharge 211,Jio,293.06,Bills
2023-11-29,BSNL FTTH 10122,BSNL,2347.0,Utilities
2025-01-24,Gas Cylinder 681,Indane,1067.59,Bills
2024-06-09,Concert Ticket 595,Insider,1353.87,Entertainment
2025-08-23,Ola Cabs,Ola,250.0,Transport
2025-01-28,Zomato order 5727,Zomato,491.0,Food & Drink
2024-02-01,IMPS - House Rent Feb,House Rent,18442.0,Rent
2024-05-11,Monthly Rent 826,NoBroker,21042.43,Rent
2023-01-22,Gym Supplement 247,HealthKart,2359.67,Health
2025-11-03,Starbucks,Starbucks,510.0,Food & Drink
2023-07-24,Amazon.in Order AMZ10264,Amazon,10352.0,Shopping
2023-02-12,INOX TICKET 10056,INOX,1048.0,Entertainment
2023-03-01,Zomato order 5727,Zomato,271.0,Food & Drink
2023-07-10,Water Tax,CMWSSB,150.0,Utilities
2024-06-25,Swiggy Foods,Swiggy,600.0,Food & Drink
2023-01-22,Ola Ride 8931,Ola,257.0,Transport
2024-03-15,Cafe Coffee Day Bill,Cafe Coffee Day,338.0,Food & Drink
2025-11-05,TNEB BILL PAY 10166,TNEB,2168.0,Utilities
2023-02-13,BigBazaar Purchase 10057,BigBazaar,2281.0,Groceries
2023-07-22,House Rent Jan,House Rent,18200.53,Rent
2023-02-26,Uber Ride 4880,Uber,181.0,Transport
2023-08-23,Concert Ticket 339,Insider,1382.84,Entertainment
2024-05-09,TNEB BILL PAY 10166,TNEB,2168.0,Utilities
2024-02-28,BigBazaar,BigBazaar,2900.0,Groceries
2023-02-22,Swiggy Instamart,Swiggy,496.0,Groceries
2024-10-25,Doctor's Visit,Local Clinic,800.0,Health
2023-04-03,Myntra,Myntra,3800.0,Shopping
2023-07-27,Apollo Pharmacy,Apollo Pharmacy,270.0,Health
2025-05-11,Bowling 563,Amoeba,364.05,Entertainment
